[wait_phase_a] Waiting for /home/mc46451/music-recommendation/docs/agent_runs/20260526_self_train_v2/phase_a.done ...
[wait_phase_a] 2026-05-26T08:15:59+00:00 segments=31219 (no marker yet)
[wait_phase_a] 2026-05-26T08:18:06+00:00 segments=31611 (no marker yet)
[wait_phase_a] 2026-05-26T08:20:15+00:00 segments=32021 (no marker yet)
[wait_phase_a] 2026-05-26T08:22:18+00:00 segments=32433 (no marker yet)
[wait_phase_a] 2026-05-26T08:24:24+00:00 segments=32845 (no marker yet)
[wait_phase_a] 2026-05-26T08:26:33+00:00 segments=33261 (no marker yet)
[wait_phase_a] 2026-05-26T08:28:42+00:00 segments=33647 (no marker yet)
[wait_phase_a] 2026-05-26T08:30:48+00:00 segments=34050 (no marker yet)
[wait_phase_a] 2026-05-26T08:32:56+00:00 segments=34430 (no marker yet)
[wait_phase_a] 2026-05-26T08:35:01+00:00 segments=34862 (no marker yet)
[wait_phase_a] 2026-05-26T08:37:05+00:00 segments=35257 (no marker yet)
[wait_phase_a] 2026-05-26T08:39:09+00:00 segments=35658 (no marker yet)
[wait_phase_a] 2026-05-26T08:41:19+00:00 segments=36061 (no marker yet)
[wait_phase_a] 2026-05-26T08:43:23+00:00 segments=36480 (no marker yet)
[wait_phase_a] 2026-05-26T08:45:33+00:00 segments=36866 (no marker yet)
[wait_phase_a] 2026-05-26T08:47:43+00:00 segments=37262 (no marker yet)
[wait_phase_a] 2026-05-26T08:49:53+00:00 segments=37690 (no marker yet)
[wait_phase_a] 2026-05-26T08:52:00+00:00 segments=38109 (no marker yet)
[wait_phase_a] 2026-05-26T08:54:09+00:00 segments=38518 (no marker yet)
[wait_phase_a] 2026-05-26T08:56:19+00:00 segments=38935 (no marker yet)
[wait_phase_a] 2026-05-26T08:58:25+00:00 segments=39364 (no marker yet)
[wait_phase_a] 2026-05-26T09:00:31+00:00 segments=39762 (no marker yet)
[wait_phase_a] 2026-05-26T09:02:44+00:00 segments=40171 (no marker yet)
[wait_phase_a] 2026-05-26T09:04:55+00:00 segments=40594 (no marker yet)
[wait_phase_a] 2026-05-26T09:07:03+00:00 segments=41020 (no marker yet)
[wait_phase_a] 2026-05-26T09:09:17+00:00 segments=41415 (no marker yet)
[wait_phase_a] 2026-05-26T09:11:28+00:00 segments=41836 (no marker yet)
[wait_phase_a] 2026-05-26T09:13:38+00:00 segments=42263 (no marker yet)
[wait_phase_a] 2026-05-26T09:15:49+00:00 segments=42678 (no marker yet)
[wait_phase_a] 2026-05-26T09:17:56+00:00 segments=43085 (no marker yet)
[wait_phase_a] 2026-05-26T09:20:07+00:00 segments=43486 (no marker yet)
[wait_phase_a] 2026-05-26T09:22:13+00:00 segments=43918 (no marker yet)
[wait_phase_a] 2026-05-26T09:24:19+00:00 segments=44326 (no marker yet)
[wait_phase_a] 2026-05-26T09:26:28+00:00 segments=44733 (no marker yet)
[wait_phase_a] 2026-05-26T09:28:35+00:00 segments=45140 (no marker yet)
[wait_phase_a] 2026-05-26T09:30:42+00:00 segments=45549 (no marker yet)
[wait_phase_a] 2026-05-26T09:32:49+00:00 segments=45959 (no marker yet)
[wait_phase_a] 2026-05-26T09:34:57+00:00 segments=46372 (no marker yet)
[wait_phase_a] 2026-05-26T09:37:10+00:00 segments=46781 (no marker yet)
[wait_phase_a] 2026-05-26T09:39:18+00:00 segments=47197 (no marker yet)
[wait_phase_a] 2026-05-26T09:41:30+00:00 segments=47616 (no marker yet)
[wait_phase_a] 2026-05-26T09:43:42+00:00 segments=48056 (no marker yet)
[wait_phase_a] 2026-05-26T09:45:51+00:00 segments=48495 (no marker yet)
[wait_phase_a] 2026-05-26T09:48:01+00:00 segments=48924 (no marker yet)
[wait_phase_a] 2026-05-26T09:50:08+00:00 segments=49362 (no marker yet)
[wait_phase_a] 2026-05-26T09:52:22+00:00 segments=49757 (no marker yet)
[wait_phase_a] 2026-05-26T09:54:32+00:00 segments=50193 (no marker yet)
[wait_phase_a] 2026-05-26T09:56:39+00:00 segments=50575 (no marker yet)
[wait_phase_a] 2026-05-26T09:58:47+00:00 segments=50976 (no marker yet)
[wait_phase_a] 2026-05-26T10:00:57+00:00 segments=51393 (no marker yet)
[wait_phase_a] 2026-05-26T10:03:05+00:00 segments=51811 (no marker yet)
[wait_phase_a] 2026-05-26T10:05:17+00:00 segments=52220 (no marker yet)
[wait_phase_a] 2026-05-26T10:07:28+00:00 segments=52629 (no marker yet)
[wait_phase_a] 2026-05-26T10:09:44+00:00 segments=53007 (no marker yet)
[wait_phase_a] 2026-05-26T10:11:54+00:00 segments=53459 (no marker yet)
[wait_phase_a] 2026-05-26T10:14:03+00:00 segments=53871 (no marker yet)
[wait_phase_a] phase_a.done; group_count_sources=3172
[wait_phase_a] Submitted Slurm job 120619 (RUN_ID=thesis_self_v2 REFINE=1)
